t_s,GR07_temp_c,GR07_sem_c,GR07_sigma_c,GR07_rate_hz,GR07_observable_ns,GR07_n,GR07_rejected,GR06_temp_c,GR06_sem_c,GR06_sigma_c,GR06_rate_hz,GR06_observable_ns,GR06_n,GR06_rejected
61.7351,23.036081,0.003450,2.327467,907789.804781,1101.644573,455092,0,23.079421,0.013358,0.611695,141232.200616,7080.568431,2097,0
63.3179,23.146147,0.003451,2.328240,908127.147709,1101.235379,455261,0,23.128711,0.013223,0.605650,141255.700204,7079.389895,2098,0
64.9044,23.094080,0.003241,2.327784,907967.565740,1101.428908,515871,0,23.030298,0.012665,0.617474,141208.780447,7081.743374,2377,0
66.4823,23.042549,0.003240,2.327146,907809.627461,1101.620499,515782,0,23.169155,0.012689,0.618645,141274.982903,7078.424905,2377,0
68.0609,22.967238,0.003445,2.323880,907578.803302,1101.900489,454986,0,23.011413,0.013189,0.603965,141199.776770,7082.193610,2097,0
69.6453,22.967939,0.003237,2.324236,907580.952859,1101.897900,515652,0,23.008148,0.012405,0.604778,141198.220099,7082.271771,2377,0
71.2267,23.234998,0.003438,2.319814,908399.470786,1100.904749,455397,0,23.025384,0.013470,0.616994,141206.437521,7081.860820,2098,0
72.8015,23.004740,0.003238,2.325090,907693.747012,1101.761020,515717,0,23.044185,0.012294,0.599502,141215.401171,7081.409588,2378,0
74.3781,23.018725,0.003241,2.327574,907736.608684,1101.709140,515740,0,22.983769,0.012234,0.596468,141186.596830,7082.854018,2377,0
75.9617,22.988370,0.003450,2.327262,907643.573814,1101.822051,455019,0,23.002566,0.013391,0.613348,141195.558890,7082.406101,2098,0
77.5471,23.054558,0.003241,2.327375,907846.432803,1101.575850,515803,0,22.994098,0.012285,0.599091,141191.521318,7082.607233,2378,0
79.1253,23.095653,0.003450,2.327931,907972.387272,1101.423067,455183,0,22.889278,0.013574,0.621751,141141.546862,7085.117255,2098,0
80.7137,23.022359,0.003448,2.325958,907747.746633,1101.695528,455070,0,22.893521,0.013263,0.607515,141143.569661,7085.014299,2098,0
82.2992,23.349925,0.003217,2.311575,908751.714691,1100.477535,516318,0,22.981011,0.012259,0.597810,141185.282164,7082.920101,2378,0
83.8878,23.253664,0.003230,2.320872,908456.681637,1100.835478,516150,0,22.946379,0.012779,0.623174,141168.770704,7083.751051,2378,0
85.4653,22.970092,0.003239,2.326254,907587.552899,1101.890004,515656,0,22.904127,0.012424,0.605855,141148.626537,7084.760303,2378,0
87.0430,22.952699,0.003444,2.322698,907534.244343,1101.954524,454963,0,22.983216,0.013081,0.599178,141186.333457,7082.867493,2098,0
88.6230,23.017010,0.003237,2.324930,907731.351660,1101.715367,515738,0,22.957213,0.012418,0.605418,141173.935790,7083.490114,2377,0
90.2022,22.960367,0.003448,2.325812,907557.746840,1101.926168,454976,0,22.919354,0.013368,0.612310,141155.886096,7084.396568,2098,0
91.7832,22.951728,0.003440,2.320008,907531.266685,1101.957983,454962,0,22.978008,0.013364,0.612133,141183.850467,7082.993327,2098,0
93.3644,23.049241,0.003449,2.326948,907830.137312,1101.595598,455112,0,22.866827,0.013396,0.613447,141130.842851,7085.653791,2097,0
94.9515,22.998532,0.003148,2.326190,907674.719167,1101.784181,546041,0,22.983315,0.012069,0.605604,141186.380540,7082.865766,2518,0
96.5388,22.953151,0.003236,2.323749,907535.628720,1101.952904,515626,0,22.924906,0.012279,0.598758,141158.532885,7084.262405,2378,0
98.1252,22.995313,0.003237,2.324885,907664.851871,1101.796083,515700,0,22.961578,0.012438,0.606408,141176.017193,7083.385780,2377,0
99.7036,22.977053,0.003240,2.326415,907608.885408,1101.864114,515668,0,22.901280,0.012668,0.617645,141147.268765,7084.829617,2377,0
101.2873,23.015257,0.003447,2.325480,907725.980680,1101.721918,455060,0,22.948052,0.013428,0.615047,141169.568529,7083.710200,2098,0
102.8735,23.020899,0.003148,2.326464,907743.270731,1101.700990,546082,0,22.924069,0.012347,0.619442,141158.133940,7084.284466,2517,0
104.4502,23.272157,0.003436,2.319091,908513.359399,1100.766697,455455,0,22.876556,0.012848,0.588505,141135.481500,7085.418494,2098,0
106.0356,22.994150,0.003237,2.324801,907661.289485,1101.800403,515698,0,22.942285,0.012340,0.601636,141166.818874,7083.846866,2377,0
107.6208,22.937017,0.003234,2.322386,907486.180426,1102.012870,515598,0,22.980346,0.012711,0.619705,141184.965227,7082.938157,2377,0
109.2055,22.914794,0.003142,2.321312,907418.067726,1102.095529,545886,0,23.018597,0.011795,0.591882,141203.202007,7082.020651,2518,0
110.7850,23.033440,0.003453,2.329567,907781.709445,1101.654520,455088,0,22.990591,0.013297,0.609075,141189.849303,7082.692088,2098,0
112.3680,22.934423,0.003445,2.323568,907478.227904,1102.022597,454936,0,23.023698,0.012982,0.594605,141205.633631,7081.898951,2098,0
113.9563,23.016654,0.003151,2.328522,907730.261091,1101.716900,546075,0,22.995344,0.011991,0.601570,141192.115588,7082.577672,2517,0
115.5411,22.963678,0.003448,2.325998,907567.892273,1101.913860,454980,0,22.885731,0.013356,0.611735,141139.855910,7085.201144,2098,0
117.1275,22.929483,0.003444,2.322822,907463.088963,1102.040938,454928,0,22.941520,0.013441,0.615672,141166.454089,7083.866540,2098,0
118.7095,22.925155,0.003442,2.321634,907449.822216,1102.056981,454921,0,23.026907,0.013091,0.599610,141207.163842,7081.822688,2098,0
120.2969,22.932000,0.003146,2.324145,907470.804042,1102.031646,545918,0,23.120129,0.012350,0.619595,141251.608696,7079.596345,2517,0
121.8809,22.899486,0.003139,2.318825,907371.149663,1102.152373,545859,0,23.016410,0.012144,0.609406,141202.158890,7082.074662,2518,0
123.4644,22.918444,0.003440,2.320126,907429.252881,1102.081875,454911,0,23.039732,0.013442,0.615704,141213.278089,7081.517636,2098,0
125.0464,22.993538,0.003447,2.325380,907659.412251,1101.802715,455027,0,23.117530,0.013168,0.603160,141250.369781,7079.656816,2098,0
126.6266,22.906362,0.003438,2.319049,907392.225335,1102.126786,454893,0,23.033956,0.013258,0.607268,141210.524199,7081.654909,2098,0
128.2088,22.960597,0.003444,2.322892,907558.450724,1101.925143,454975,0,23.086797,0.013491,0.617950,141235.717200,7080.392755,2098,0
129.7896,22.964325,0.003237,2.324641,907569.875369,1101.911373,515646,0,23.057190,0.012689,0.618635,141221.601574,7081.100547,2377,0
131.3714,23.010556,0.003452,2.328528,907711.570041,1101.739586,455053,0,23.053422,0.013307,0.609497,141219.805364,7081.189704,2098,0
132.9556,22.956299,0.003444,2.323154,907545.278631,1101.941152,454969,0,23.094296,0.013521,0.619169,141239.292621,7080.213639,2097,0
134.5389,22.964912,0.003442,2.322002,907571.675960,1101.909034,454982,0,22.970721,0.012752,0.584104,141180.376326,7083.164919,2098,0
136.1255,22.983129,0.003445,2.323522,907627.509550,1101.841336,455011,0,22.895901,0.013213,0.605189,141144.704436,7084.957102,2098,0
137.7098,22.952206,0.003451,2.327429,907532.733092,1101.956634,454963,0,22.967336,0.013410,0.614220,141178.762343,7083.248808,2098,0
139.2902,22.933981,0.003234,2.322218,907476.873940,1102.024162,515593,0,22.953960,0.012717,0.620159,141172.385126,7083.569386,2378,0
140.8769,22.957807,0.003446,2.324588,907549.897679,1101.935627,454972,0,23.105376,0.013021,0.596395,141244.574897,7079.946616,2098,0
142.4531,22.904596,0.003140,2.319893,907386.812454,1102.133410,545868,0,22.939940,0.012011,0.602570,141165.700774,7083.903059,2517,0
144.0356,22.915985,0.003439,2.319733,907421.718652,1102.091003,454907,0,22.978524,0.013559,0.621047,141184.096143,7082.981888,2098,0
145.6190,22.878596,0.003229,2.318022,907307.122788,1102.230104,515497,0,22.971765,0.012442,0.606754,141180.873957,7083.142136,2378,0
147.1882,23.218272,0.003237,2.325300,908348.207681,1100.967199,516088,0,22.921764,0.012419,0.605485,141157.034897,7084.338241,2377,0
148.7677,22.938891,0.003445,2.323962,907491.923692,1102.005988,454942,0,22.962025,0.013138,0.601763,141176.230038,7083.374643,2098,0
150.3540,22.924778,0.003331,2.320168,907448.666375,1102.058300,485249,0,23.108971,0.012582,0.595216,141246.289060,7079.860590,2238,0
151.9369,22.894359,0.003437,2.318345,907355.436204,1102.171432,454874,0,23.249212,0.013529,0.619540,141313.151028,7076.513114,2097,0
153.5272,22.947138,0.003141,2.320790,907517.198769,1101.975111,545946,0,23.023957,0.012173,0.610695,141205.757171,7081.894319,2517,0
155.1135,23.030771,0.003237,2.324944,907773.528981,1101.664178,515762,0,22.985949,0.012335,0.601497,141187.636454,7082.802355,2378,0
156.7009,22.980399,0.003335,2.323670,907619.142461,1101.851502,485340,0,23.072089,0.012896,0.610093,141228.705172,7080.743521,2238,0
158.2823,22.880683,0.003229,2.318384,907313.518774,1102.222355,515500,0,23.025014,0.012288,0.599102,141206.261360,7081.867901,2377,0
159.8653,23.089058,0.003451,2.328137,907952.174955,1101.447599,455173,0,23.033262,0.013803,0.632229,141210.193687,7081.673975,2098,0
161.4456,23.066614,0.003450,2.327259,907883.386074,1101.531005,455139,0,23.028722,0.013414,0.614436,141208.029107,7081.780744,2098,0
163.0346,23.067887,0.003146,2.325285,907887.286438,1101.526158,546169,0,23.086862,0.012229,0.613630,141235.748079,7080.390786,2518,0
164.6196,22.913392,0.003141,2.320874,907413.769055,1102.100725,545884,0,23.054566,0.012239,0.614144,141220.350576,7081.162828,2518,0
166.2025,23.384724,0.003420,2.308832,908858.369547,1100.348231,455628,0,23.174407,0.013479,0.617388,141277.486517,7078.299333,2098,0
167.7800,22.937965,0.003440,2.319965,907489.086282,1102.009201,454941,0,23.006470,0.012945,0.592917,141197.419812,7082.310772,2098,0
169.3612,22.982132,0.003340,2.326800,907624.454405,1101.845235,485343,0,23.099774,0.012978,0.613955,141241.904027,7080.082216,2238,0
170.9464,22.812928,0.003422,2.307832,907105.855156,1102.474080,454750,0,22.960005,0.013414,0.614428,141175.266901,7083.424214,2098,0
172.5281,22.954199,0.003447,2.325207,907538.842446,1101.949086,454966,0,22.990836,0.012901,0.590922,141189.966174,7082.684461,2098,0
174.1141,22.956838,0.003444,2.322945,907546.930254,1101.939134,454970,0,23.041235,0.012951,0.593197,141213.994589,7081.479504,2098,0
175.6924,23.288350,0.003436,2.319198,908562.991107,1100.706570,455479,0,22.901854,0.013518,0.619171,141147.542870,7084.816015,2098,0
177.2735,22.915961,0.003435,2.316729,907421.644197,1102.090919,454908,0,22.949076,0.012934,0.592410,141170.056398,7083.683508,2098,0
178.8592,22.990645,0.003445,2.324000,907650.545813,1101.813398,455022,0,23.000839,0.013530,0.619732,141194.735210,7082.448046,2098,0
180.4481,22.984837,0.003147,2.325706,907632.744776,1101.835107,546015,0,22.983150,0.012145,0.609335,141186.301622,7082.870083,2517,0
182.0332,22.973559,0.003442,2.321879,907598.176685,1101.876852,454996,0,22.999303,0.013261,0.607278,141194.002902,7082.483548,2097,0
183.6120,22.904151,0.003441,2.320518,907385.446031,1102.135105,454889,0,22.954894,0.013361,0.612009,141172.830148,7083.546235,2098,0
185.1960,22.977403,0.003238,2.324907,907609.959826,1101.862722,515669,0,22.967271,0.012055,0.587735,141178.731437,7083.247791,2377,0
186.7805,22.974125,0.003237,2.324162,907599.913459,1101.874876,515663,0,22.943876,0.012218,0.595793,141167.577203,7083.808242,2378,0
188.3512,22.920364,0.003442,2.321423,907435.139678,1102.074801,454914,0,22.972234,0.013177,0.603536,141181.097558,7083.130601,2098,0
189.9272,22.952399,0.003445,2.323543,907533.325298,1101.955689,454964,0,23.006303,0.012907,0.591173,141197.340430,7082.314585,2098,0
191.5116,23.139340,0.003238,2.325695,908106.285740,1101.260531,515951,0,22.959396,0.012476,0.608388,141174.976579,7083.438183,2378,0
193.0945,22.926424,0.003444,2.323179,907453.711735,1102.052347,454923,0,23.157073,0.012973,0.594198,141269.222254,7078.711153,2098,0
194.6800,23.014018,0.003240,2.326454,907722.180818,1101.726587,515732,0,23.021028,0.012763,0.622240,141204.360731,7081.965503,2377,0
196.2624,22.960363,0.003145,2.323661,907557.733774,1101.926058,545971,0,23.040986,0.012117,0.608017,141213.876019,7081.486894,2518,0
197.8450,22.942631,0.003447,2.324673,907503.386504,1101.992109,454949,0,22.998694,0.013148,0.602233,141193.712469,7082.497617,2098,0
199.4298,22.977010,0.003238,2.325319,907608.756254,1101.864207,515668,0,22.985637,0.012877,0.627949,141187.487604,7082.812447,2378,0
201.0114,22.878567,0.003438,2.318492,907307.034598,1102.230239,454850,0,22.984661,0.013137,0.601722,141187.022468,7082.833174,2098,0
202.5941,22.887673,0.003440,2.319983,907334.944768,1102.196419,454864,0,23.023441,0.013317,0.609961,141205.511355,7081.906578,2098,0
204.1785,22.991474,0.003448,2.326010,907653.085709,1101.810432,455023,0,23.009905,0.013411,0.614296,141199.057608,7082.230696,2098,0
205.7648,22.919512,0.003145,2.323756,907432.526576,1102.078110,545896,0,23.003562,0.012334,0.618909,141196.033595,7082.382844,2518,0
207.3528,23.040231,0.003341,2.328090,907802.522006,1101.629176,485438,0,22.964503,0.012679,0.599675,141177.411640,7083.315154,2237,0
208.9365,22.898344,0.003445,2.323461,907367.648793,1102.156894,454880,0,22.934267,0.013443,0.615606,141162.996254,7084.040057,2097,0
210.5196,22.987725,0.003445,2.323691,907641.596337,1101.824244,455018,0,23.021575,0.013566,0.621383,141204.621488,7081.952336,2098,0
212.1023,22.941404,0.003442,2.321824,907499.626481,1101.996509,454946,0,22.931414,0.013094,0.599779,141161.636019,7084.106768,2098,0
213.6849,22.988248,0.003446,2.324272,907643.198848,1101.822333,455019,0,22.973639,0.013014,0.596111,141181.767218,7083.096282,2098,0
215.2670,22.985717,0.003447,2.325462,907635.440300,1101.831821,455014,0,22.923541,0.013210,0.604914,141157.882133,7084.295660,2097,0
216.8497,22.957321,0.003145,2.323660,907548.408789,1101.937381,545966,0,22.976213,0.012016,0.602836,141182.994591,7083.035360,2517,0
218.4263,23.004374,0.003447,2.325248,907692.624558,1101.762392,455043,0,23.010343,0.013199,0.604570,141199.266552,7082.219256,2098,0
220.0102,22.965978,0.003144,2.323321,907574.943434,1101.905143,545981,0,22.937186,0.012185,0.611337,141164.387851,7083.969805,2517,0
221.5941,22.950640,0.003441,2.321064,907527.932246,1101.962093,454961,0,23.001465,0.013472,0.617077,141195.034001,7082.432793,2098,0
223.1773,22.867470,0.003437,2.318084,907273.021391,1102.271538,454832,0,23.016412,0.013247,0.606759,141202.159885,7082.074357,2098,0
224.7559,23.030009,0.003447,2.325419,907771.193660,1101.667040,455082,0,22.939788,0.013551,0.620709,141165.628483,7083.908484,2098,0
226.3378,22.998543,0.003448,2.325680,907674.750904,1101.784113,455034,0,22.951822,0.013132,0.601487,141171.365856,7083.618684,2098,0
227.9139,22.959098,0.003444,2.322978,907553.857242,1101.930726,454973,0,23.019157,0.013429,0.615099,141203.468606,7082.009533,2098,0
229.4957,22.970417,0.003443,2.322431,907588.548156,1101.888574,454991,0,22.985973,0.013328,0.610487,141187.647758,7082.802669,2098,0
231.0754,22.863527,0.003435,2.316648,907260.938125,1102.286135,454827,0,23.047498,0.013187,0.604015,141216.980942,7081.330791,2098,0
232.6552,22.949755,0.003449,2.326257,907525.219451,1101.965689,454959,0,23.012745,0.013253,0.607030,141200.411767,7082.162059,2098,0
234.2365,22.883498,0.003438,2.318405,907322.148378,1102.211873,454858,0,22.935550,0.013051,0.597789,141163.607813,7084.007626,2098,0
235.8169,23.045905,0.003152,2.329690,907819.912983,1101.608165,546128,0,22.931519,0.012070,0.605658,141161.685804,7084.104845,2518,0
237.3966,23.298730,0.003433,2.316755,908594.803675,1100.667889,455495,0,22.901377,0.013521,0.619294,141147.315234,7084.827455,2098,0
238.9759,23.326244,0.003427,2.313275,908679.132892,1100.565538,455538,0,22.931240,0.013015,0.596141,141161.553015,7084.110582,2098,0
240.5580,23.289901,0.003432,2.316499,908567.744234,1100.700656,455482,0,23.026189,0.013509,0.618768,141206.821215,7081.841754,2098,0
242.1414,23.314317,0.003431,2.315743,908642.578096,1100.609958,455520,0,22.898181,0.013471,0.617019,141145.791393,7084.903718,2098,0
243.7219,23.392757,0.003421,2.309178,908882.989317,1100.318444,455640,0,23.003484,0.013185,0.603908,141195.996472,7082.383222,2098,0
245.3002,23.419571,0.003408,2.300388,908965.172604,1100.218451,455682,0,23.007465,0.013155,0.602542,141197.894364,7082.287893,2098,0
246.8797,23.392173,0.003305,2.303879,908881.202371,1100.320302,486016,0,22.939782,0.012783,0.604748,141165.625316,7083.907060,2238,0
248.4556,23.327389,0.003430,2.314794,908682.643851,1100.561373,455540,0,22.944952,0.013043,0.597417,141168.090308,7083.782650,2098,0
250.0357,23.343177,0.003427,2.312848,908731.032213,1100.502656,455564,0,23.053104,0.013441,0.615509,141219.653771,7081.197902,2097,0
251.6154,23.621315,0.003353,2.264384,909583.505926,1099.468447,455992,0,23.004107,0.013107,0.600344,141196.293594,7082.367969,2098,0
253.1934,23.379751,0.003421,2.309236,908843.127487,1100.366709,455620,0,23.230191,0.012958,0.593539,141304.082554,7076.964728,2098,0
254.7752,23.612854,0.003357,2.266995,909557.573271,1099.499943,455980,0,23.133840,0.013345,0.611233,141258.145849,7079.267874,2098,0
256.3524,23.250448,0.003432,2.316338,908446.823420,1100.847162,455422,0,22.959623,0.013078,0.599007,141175.084755,7083.431840,2098,0
257.9322,23.305721,0.003430,2.315077,908616.230059,1100.641836,455506,0,23.058323,0.013069,0.598614,141222.141662,7081.071497,2098,0
259.5172,23.322983,0.003429,2.314663,908669.138779,1100.577723,455533,0,23.041387,0.013072,0.598586,141214.067111,7081.476395,2097,0
261.0954,23.282777,0.003437,2.319659,908545.910391,1100.727291,455471,0,23.064886,0.013197,0.604496,141225.271031,7080.915157,2098,0
262.6781,23.257184,0.003438,2.319900,908467.468192,1100.822351,455431,0,22.993262,0.013091,0.599605,141191.122986,7082.627264,2098,0
264.2592,23.372137,0.003421,2.308895,908819.792077,1100.394944,455609,0,22.983122,0.013424,0.614892,141186.288263,7082.871306,2098,0
265.8394,23.285197,0.003436,2.319132,908553.327493,1100.718274,455475,0,23.022744,0.013210,0.604935,141205.179123,7081.922747,2097,0
267.4169,23.169113,0.003445,2.324253,908197.538616,1101.149793,455296,0,22.997506,0.013036,0.596967,141193.146448,7082.525513,2097,0
268.9978,23.224979,0.003332,2.322530,908368.763570,1100.942123,485741,0,22.942771,0.012791,0.605129,141167.050672,7083.835567,2238,0
270.5772,23.463590,0.003400,2.294994,909100.090284,1100.054855,455750,0,22.966847,0.013353,0.611638,141178.529328,7083.260248,2098,0
